"Model_Type","Mean_Marginal_R2","Median_Marginal_R2","Min_Marginal_R2","Max_Marginal_R2","Mean_Conditional_R2","Median_Conditional_R2","Min_Conditional_R2","Max_Conditional_R2"
"Recovery",0.220925,0.21535,0.1405,0.3125,0.220925,0.21535,0.1405,0.3125
"Severity",0.209875,0.2123,0.1357,0.2792,0.209875,0.2123,0.1357,0.2792
